mereka melakukannya!	mereka tidak !
apakah kamu melihatnya ?	WHO ?
WHO ?	Orang itu. Dia baru saja datang ke sini.
Orang itu. Dia baru saja datang ke sini.	cowok apa ?
cowok apa ?	ada orang lain di kapal ini.
Anda lebih praktis daripada percaya takhayul.	satu-satunya cara untuk menjadi .
kopi ?	ya. terima kasih.
permen ?	Itu nama pena saya.
bagaimana dengan emasnya?	tinggalkan saja .
tidak dapat menemukan senapannya.	Jadi, siapa pun yang melakukan ini, sekarang memiliki senapan kita.
Jadi, siapa pun yang melakukan ini, sekarang memiliki senapan kita.	sepertinya itu tidak terlalu penting.
Apa yang terjadi ?	kamu tidak ingat?
Anda sudah keluar selama sekitar satu hari.	bilang apa?
Bagaimana perasaanmu?	kehilangan kaki lautku.
belum pernah sehaus ini seumur hidupku.	minumlah kalau begitu.
apa sekarang ?	kita bisa meminta bantuan.
Menurutmu berapa nilainya, Kapten?	Sulit untuk dikatakan. Mungkin empat puluh lima puluh juta.
Sulit untuk dikatakan. Mungkin empat puluh lima puluh juta.	Hai sayang!
Pagi .	Kamu begadang.
murphy sialan.	Maaf .
itu lucu.	bagaimana itu ?
Saya mungkin salah bisnis.	Anda benar.
Anda benar.	lebih baik daripada membuat hamburger untuk mickey d.
Tentu saja mereka melakukannya.	biarkan pembeli berhati-hati.
biarkan pembeli berhati-hati.	apa yang kamu katakan menghindar?
apa yang tampaknya menjadi masalah para wanita?	kenapa kamu tidak urus urusanmu sendiri, ketua?
Saya pikir Anda mengatakan hari Selasa.	lebih baik terlambat daripada tidak sama sekali.
lebih baik terlambat daripada tidak sama sekali.	apa ini ?
yang menghabiskan biaya setidaknya dua puluh ribu.	lima belas paling banyak.
tapi aku tak bisa	lakukan saja !
labu apakah kamu ada di sana?	apakah kamu akan membentakku?
apakah kamu akan membentakku?	tentang apa ?
tentang apa ?	Ya, aku mendengar tentang itu.
labu? ada apa?	Tidak ada apa-apa .
Aku punya kabar baik untukmu, labu.	apa sekarang ?
apa sekarang ?	apakah Anda masih mencari pekerjaan?
apakah Anda masih mencari pekerjaan?	kukira .
WHO ?	tebakan .
tebakan .	bagaimana saya bisa mengetahuinya ?
bagaimana saya bisa mengetahuinya ?	seseorang dari masa lalu.
seseorang dari masa lalu.	WHO ?
WHO ?	menyerah ?
menyerah ?	Ya .
Ya .	maksimal .
maksimal .	bukan maxine?
bukan maxine?	benar sekali.
baiklah ya . . .	Saya . . .
hai enid.	Hai Josh.
Hai Josh.	apakah kamu siap berangkat ?
mengapa tidak ?	Karena jika kau melakukannya, aku akan membunuhmu!
Karena jika kau melakukannya, aku akan membunuhmu!	Oke. . . aku janji.
apakah kamu mau minum sesuatu?	Mengapa ?
Mengapa ?	apa maksudmu kenapa ?
Tidak ada apa-apa .	lalu mengapa kamu begitu membenciku?
lalu mengapa kamu begitu membenciku?	kapan aku bilang aku membencimu?
Itulah diriku!	ya baiklah
apakah kamu yang meninggalkan catatan itu?	kukira .
hai...apa kabar?	bolehkah saya masuk ?
hai josh.	Hai .
Hai .	Saya hanya mampir untuk menyapa.
Saya hanya mampir untuk menyapa.	ya baiklah . . . hai . . .
Ya Tuhan lihatlah orang ini.	Ya Tuhan itu dia!
wow... akhirnya.	itu baru saja datang kemarin . . .
apakah kamu menginginkan sesuatu ?	mungkin jus jeruk.
di sana .	hanya itu yang kamu bawa?
Jam berapa ?	aku tidak tahu . . .
Jadi bagaimana menurutmu?	tidak apa-apa.
tidak apa-apa.	Jadi di mana semua barangmu?
Halo ?	aku perlu bicara denganmu.
apa? kapan kamu lihat josh?!	dia datang bekerja.
dia datang bekerja.	kenapa? apa yang dia katakan?
kenapa? apa yang dia katakan?	Tidak ada apa-apa .
Tidak ada apa-apa .	kapan ini ?
Halo ?	apakah kamu masih ingin melakukan sesuatu malam ini?
apakah kamu masih ingin melakukan sesuatu malam ini?	apa yang terjadi pada seymour?
apa yang terjadi pada seymour?	Saya tidak percaya dia benar-benar mencetak gol!
apa yang sedang kamu bicarakan ? siapa ?	hanya beberapa orang dari kantor...
hanya beberapa orang dari kantor...	aku tidak percaya kamu.
teruskan . . .	tidak benar-benar . . .
tidak benar-benar . . .	Ya Tuhan kau benar-benar terobsesi. . .
Kamu menjijikkan. Lihat orang itu?	yang mana ?
yang mana ?	dia membuatku ereksi total!
Orang itu sungguh menakjubkan.	Dia melakukan itu setiap hari.
berikan aku semua uangmu, jalang!	dimana kamu mendapatkan itu ?
dimana kamu mendapatkan itu ?	Anda tidak akan mempercayainya! Tebak saja!
Anda tidak akan mempercayainya! Tebak saja!	Di mana ?
Di mana ?	anthony s ii !
anthony s ii !	tidak mungkin. . . kapan?
Aku benar-benar sangat membencimu.	aw ayolah ini pesta yang menyenangkan.
apa ? dimana ?!	itu suatu kejutan.
itu suatu kejutan.	aku tidak percaya kamu.
pagi ini di penjualan garasi Seymour.	Ya Tuhan, apakah kamu belum bosan dengan Seymour?
saya juga tidak mengerti.	semua orang terlalu bodoh!
ya dia melampaui hal-hal manusiawi seperti itu.	haruskah kita meninggalkan catatan?
astaga !	astaga !
itu dia . . .	seperti biasanya .
kemana kita akan pergi ?	ayo kita ganggu josh.
ayo kita ganggu josh.	kerepotan ?
Kita masih harus masuk ke sana suatu saat nanti.	itu selalu tertutup . . .
dia gila!	kita harus mengikutinya pulang.
apa kamu yakin ?	Benar sekali! lihat!
apakah menurutmu dia tahu?	aku tidak tahu . . .
itu jelas dia!	aku tak dapat mempercayainya!
apakah dia mengenakan kardigan hijau?	apa sebenarnya kardigan itu?
diam !	dia bilang dia ingin mmph!
lihat mungkin itu dia!	masih dua puluh lima menit lebih awal.
kamu menelepon.	mengapa saya harus selalu melakukannya?
mengapa saya harus selalu melakukannya?	Kamu lebih jago dalam hal itu.
Hei! Kami lupa menelepon si pecundang!	pecundang yang mana?
pecundang yang mana?	Anda tahu pria yang memakai kardigan hijau.
Anda tahu pria yang memakai kardigan hijau.	Oh ya.
lihat itu kembali saat aku membencimu.	Saya ingat setiap menit pesta itu.
Saya mungkin benar-benar mendapatkan pasta spesial.	Kamu pecundang!
halo al!	bolehkah kami memanggilmu si aneh al?
oke oke !	Hei lihat ini...
jauh kemudian.	kenyataannya tidak pernah.
Mengapa ?	lihat saja mereka!
sejak kapan dia menjadi aktris?	aku tahu dia harus mati segera.
kecuali mereka ada di kelas sekolah musim panas Anda!	diam !
apa ? kenapa ?	lupakan . . .
ya kami lulus SMA, sungguh menakjubkan.	Jadi apa yang kalian lakukan musim panas ini?
Jadi apa yang kalian lakukan musim panas ini?	Tidak ada apa-apa .
Oh ya itu pasti akan terjadi. . .	Baiklah, selamat tinggal teman-teman. . . selamat!
Bolehkah saya bertanya apa yang sedang kamu lakukan?	ssst!
Anda masih tertarik dengan itu?	Saya pikir itu tidak untuk dijual.
seymour melakukannya.	siapa yang melakukannya?
mati aja sana brengsek!	dapatkan pekerjaan !
oh betapa punk.	Omong-omong, rekaman itu jelek!
Omong-omong, rekaman itu jelek!	Saya sangat minta maaf jika Anda tersinggung!
bukankah mereka sudah memberitahumu?	katakan padaku apa ?
katakan padaku apa ?	punk rock sudah berakhir!
punk rock sudah berakhir!	aku tahu ini sudah berakhir, dasar bajingan
hai... siapa namamu?	bahasa inggris
bahasa inggris	...apakah kamu sedang menunggu bus?
...apakah kamu sedang menunggu bus?	Ya .
Hei, kamu mau kemana?	Sampai jumpa, Bung.
kamu terlambat, brengsek.	baik dan apa kabar ?
baik dan apa kabar ?	apakah kamu membawa kaset itu?
Itu lima ratus dolar.	Apa ?
Apa ?	lima ratus.
Aku akan melakukannya jika kamu mau.	tidak . . . lupakan saja . .
apa yang kamu inginkan ?	apa yang kamu inginkan ?
apa yang kamu inginkan ?	aku aku aku . . .
apa yang kamu lakukan di sini ?	aku harus menemuimu.
aku harus menemuimu.	apa kabar ?
apa kabar ?	bisakah kamu setidaknya mengizinkanku masuk?
ada apa ?	apakah kamu punya sesuatu untuk diminum?
apakah itu berarti kamu tidak menyukaiku?	tidak, tentu saja tidak.
tidak, tentu saja tidak.	Jadi apakah kamu menyukaiku Seymour?
Jadi apakah kamu menyukaiku Seymour?	dengan cara apa maksudmu ?
dengan cara apa maksudmu ?	dengan cara apa pun yang menurutmu maksudku.
eh... halo?	hai ini aku . . .
hai ini aku . . .	Oh hai ...
Oh hai ...	Jadi apa yang terjadi ?
Sungguh ?	tidak pernah . . .
Hai, bolehkah aku meminjam ini?	apa ? kenapa ?
Kamu bekerja di juru masak ayam?	selama sembilan belas tahun ...
selama sembilan belas tahun ...	Kamu tukang goreng atau apa ya?
wow! lihat semua orang menjijikkan ini!	sst!
sst!	ya Tuhan !
saya kira tidak demikian . . .	tolong ? kita harus !
semoga beruntung . . .	saya serius sekali!
saya serius sekali!	ya baiklah . . .
Ups! Saya menjatuhkannya!	TIDAK ! ! !
TIDAK ! ! !	Hei, aku hanya bercanda!
ya tentu saja saya rasa...	perhatikan barang-barangku.
berapa harganya ?	dolar tujuh puluh lima.
dolar tujuh puluh lima.	Oke .
apakah Anda punya rekaman india lama?	catatan India?
mereka adalah seymour.	Seymour? Kamu pasti bercanda!
apakah Anda ingat untuk membayar tagihan telepon?	Ya .
Ya .	Telepon aku kapan-kapan.
saya setuju .	Aku harap aku bisa melihatnya.
saya .	bicarakan pada kami mengenai hal itu...
aku tidak tahu .	kenapa? apa yang dia katakan padamu?
ya dia pikir kamu orang bodoh.	apakah dia mengatakan itu?
Apa maksudmu ?	pada kencan buta palsu yang menyedihkan itu.
pada kencan buta palsu yang menyedihkan itu.	apa yang sedang kamu bicarakan ?
seymour ?	Ya ?
Ya ?	apakah Anda punya cek untuk saya?
selamat pagi sahabat, hari yang indah.	seperti mereka semua.
biarkan aku menjenguk orang sakit.	oh kamu kembali dokter sekarang?
Oh, kamu sekarang juga seorang dokter?	tidak ada alasan untuk takut.
mulai sekarang kita serang mereka.	bagaimana kita tidak tahu di mana mereka?
mengerti aku mendapat bantuan	bukan saatnya untuk kesopanan bob
aku perlu melihat burung jalak.	burung jalak ?
ya, dia memang begitu.	Baiklah, aku perlu bicara padanya.
suara yang indah mereka tampak bahagia.	bukankah begitu?
bukankah begitu?	jadi pekerjaannya pasti berjalan dengan baik?
perjalanan yang menyenangkan?	Bagaimana mungkin? Aku benci Afrika.
Kamu tidak menikmati pembunuhan bukan?	lalu mengapa melakukannya?
minggu yang bagus.	Maksudmu tidak ada yang meninggal?
tapi Anda bilang mereka selalu tua.	itulah yang dikatakan buku...
John, itu tidak akan mudah.	Nigel, kamu hanya perlu menggunakan tanganmu
Saya rasa saya tidak bisa menontonnya.	mungkin menarik bagi Anda.
menurutmu mereka akan datang saat itu? kenapa?	semoga beruntung .
semoga beruntung .	Mengapa ?
Mengapa ?	Karena menurutku mereka mengejarmu.
apa yang terjadi pada mereka ?	aku jadi besar.
pikirkan hal lain.	apakah anda pernah gagal?
apakah anda pernah gagal?	hanya dalam kehidupan...
apakah pernah melakukan hal itu sebelumnya?	. . .tidak tahu . . .
saya dapat mencoba.	samuel bilang kamu membunuh seekor singa.
apa yang telah aku lakukan ?	mengeluarkanku dari masalah.
mengeluarkanku dari masalah.	omong kosong samuel akan melakukan sesuatu.
omong kosong samuel akan melakukan sesuatu.	kita perlu bicara.
takut singa.	tidak apa-apa samuel kita semua terkena
Dimana itu ?	di bawah . di suatu tempat .
dia punya anak?	sekali . . .
kamu menyukainya bukan?	Oh ya. Tapi butuh waktu.
Oh ya. Tapi butuh waktu.	kamu sudah lama mengenalnya?
untukmu .	terima kasih samuel.
terima kasih samuel.	kabar baik ?
kabar baik ?	Saya harap itu dari istri saya.
Saya harap itu dari istri saya.	apakah kamu mencintainya ?
apakah kamu mencintainya ?	saya sebenarnya melakukan banyak hal.
saya sebenarnya melakukan banyak hal.	kamu memberiku harapan john.
Oh ya, saya pikir begitu.	awas samuel ini dia.
apa yang mereka lihat ?	Anda mereka tidak percaya Anda masih di sini.
Anda mereka tidak percaya Anda masih di sini.	omong kosong .
apakah terlihat seperti ini dalam pikiran Anda?	ini lebih sulit
Pernahkah Anda melihat singa sebesar itu?	tidak dekat sama sekali. apa yang terjadi ?
berapa jumlah sapinya?	empat seharusnya melakukannya.
empat seharusnya melakukannya.	mereka akan menginginkan banyak uang.
Maaf. Mungkin lain kali.	Baiklah, saya akan menundanya.
aku tidak akan.	Terima kasih .
Oke terserah apa yang kau pikirkan tapi tidak dengan venkman.	Oh tidak.
Oh tidak.	apakah kamu pernah melihatnya?
apakah kamu pernah melihatnya?	kadang-kadang
kadang-kadang	Bagaimana kabarnya saat ini?
apakah dia pernah menyebutku?	tidak. sejauh yang saya ingat, tidak.
tidak, kamu tidak jujur.	Oke, itu tidak masalah.
Oke, itu tidak masalah.	Itulah yang Anda katakan minggu lalu.
Itu tidak benar. Itu benar.	perbedaan yang sama.
Jadi ini yang kamu lakukan ya?	Oh halo Peter.
Oh halo Peter.	Kamu sungguh hebat lho.
semoga beruntung .	terima kasih .
Namanya adalah oscar.	Oscar! Kasihan sekali anakmu!
Maaf !	Mungkin kita harus membahasnya di tempat lain.
dr. venkman? dana tidak ada di sini.	Saya tahu .
Saya tahu .	lalu mengapa kamu datang ?
kesedihan	aku perintahkan kamu.
Anak laki-laki ini tidak main-main.	Anda harus menghentikan mereka. Tolong!
kamu harus melakukan sesuatu!	siapa mereka ?
bolehkah saya minta airmu?	lanjutkan konselor!
Yang Mulia, bolehkah saya mendekati bangku pengadilan?	Ya .
Kamu seharusnya membantuku dengan ini.	kamu butuh latihan.
ego !	halo venkman.
Jangan tembak! Kamu akan mengenai Ray!	Lakukanlah! Lakukan saja!
aku ego	dan kami adalah...
tampaknya orang yang cukup berpikiran terbuka ya?	julukannya adalah palu.
salahku !	dia baru di kota ini.
aku ray	aku peter
Ya ampun aku lupa betapa beratnya benda ini.	Oke, mari kita panaskan!
siapa ray?	dana ! dana barrett !
Oh, hanya memeriksa sesuatu untuk teman lama.	WHO ?
WHO ?	siapa? hanya seseorang yang kita kenal.
siapa? hanya seseorang yang kita kenal.	oh sinar
apakah kamu memberitahuku cara mengemudi?	tidak, aku hanya berpikir
tidak, aku hanya berpikir	baiklah jangan berpikir!
nah itu dia si jelek banget.	Hah ? Apa ?
Hah ? Apa ?	kamu sudah selesai di sini?
kamu sudah selesai di sini?	apa? ya.
siap ?	saya siap.
saya siap.	kalau begitu mari kita lakukan.
membuat Anda bertanya-tanya, bukan?	Bertanya -tanya apa?
dan murni	dan layak.
sekarang kamu mau pergi kemana ?	ke kamar mandi di mana menurutmu?
ke kamar mandi di mana menurutmu?	apakah saya telah melakukan hal yang benar?
roy ? jammu rusak.	Bagus sekali sayang. Itu masih baru.
Bagus sekali sayang. Itu masih baru.	Aku tidak merusak jam kesayanganmu, Roy!
siap ? apa itu ?	ummm angka delapan?
Oh Dana, itu kamu.	Hai, Louis.
oh dana itu kamu. . .	Hai, Louis.
latihan yang hebat.	kamu mendengarnya?
kamu mendengarnya?	Kamu yang terbaik di barisanmu.
Saya pikir saya harus bermalam di sini.	Itu saja. Keluar.
Itu saja. Keluar.	atas dasar ilmiah murni.
atas dasar ilmiah murni.	keluar !
keluar !	saya ingin membantu anda.
saya ingin membantu anda.	aku akan berteriak.
aku akan berteriak.	jangan berteriak.
jangan berteriak.	lalu pergi.
Baiklah .	Oke. Kalau begitu aku pergi.
Oke. Kalau begitu aku pergi.	selamat tinggal .
selamat tinggal .	tidak berciuman?
berengsek !	apakah kamu baik-baik saja ?
apakah kamu baik-baik saja ?	ya ya.
Kamu benar-benar pengurus rumah tangga yang baik.	sudah kubilang aku...
sudah kubilang aku...	aku tahu. itu terjadi dengan sendirinya.
Wahh.	Baiklah, mari kita periksa.
Sayang sekali.	Apa ?
Apa ?	tidak ada. apakah itu dapur?
tidak? bagaimana seharusnya aku bersikap?	seperti penjual mobil bekas.
seperti penjual mobil bekas.	Terima kasih. Apa isinya?
apakah itu pendapat profesional Anda?	itu ada di bintang-bintang.
kami semua profesional di sini nona...	barrett . dana barrett .
apakah kamu melihatnya? apa itu?	Kami akan menghubungi Anda kembali.
Aku ingin kamu memilikinya.	apa itu ?
mati dalam artian apa?	dalam arti fisik.
bolehkah saya melihat fasilitas penyimpanannya?	mengapa kamu ingin melihatnya?
Begitu ya. Dan sekarang kamu menangkap hantu?	Anda bisa mengatakan itu.
ya, itu akan terjadi.	dan bolehkah saya melihat fasilitas penyimpanan ini?
dan bolehkah saya melihat fasilitas penyimpanan ini?	Tidak, kamu tidak boleh.
Tidak, kamu tidak boleh.	dan mengapa bukan Tuan Venkman?
dan mengapa bukan Tuan Venkman?	karena kamu tidak mengucapkan kata ajaib.
Bagus! Apa kabar?	apakah anda peter venkman?
apakah anda peter venkman?	ya saya dokter venkman.
grogi ?	ya. saya tidak suka ini.
lingkaran ?	dekat tapi pasti salah.
Baiklah. Apa itu?	persegi?
persegi?	tebakan bagus tapi tidak.
Ya ?	Apakah Anda baru saja berada di kamar mandi?
Apakah Anda baru saja berada di kamar mandi?	Apa sebenarnya yang memberimu ide itu?
Hidup hanyalah sebuah keadaan pikiran.	tapi itu negara bagian favoritku.
WHO ?	gozer .
gozer .	kamu bicara dengan gozer?
Apa ?	Jangan melewati balok.
Jangan melewati balok.	mengapa tidak ?
mengapa tidak ?	percayalah padaku. itu akan buruk.
percayalah padaku. itu akan buruk.	apa maksudmu buruk ?
sesuatu pasti ada di sini.	ya aku bisa menciumnya.
saya selalu serius.	Wow !
Oh! Kamu di sini.	apa yang kamu punya egon?
ray ada sesuatu disini.	kamu dimana pete?
kamu dimana pete?	lantai tiga. turun ke sini
lantai tiga. turun ke sini	Duduklah dengan tenang. Aku sedang dalam perjalanan.
begitu juga aku.	tidak ada gunanya mengkhawatirkannya sekarang.
untuk tujuan apa ?	untuk memulai bisnis sendiri.
Sudah kubilang, itu nyata.	apa yang kita lakukan sekarang ?
apa yang kita lakukan sekarang ?	saya tidak tahu. bicarakan saja padanya.
saya tidak tahu. bicarakan saja padanya.	apa yang harus aku katakan ?
apa yang harus aku katakan ?	apa saja! buat kontak saja.
apa maksudmu dengan terlihat?	dipandang dengan matamu.
apakah kamu percaya pada Tuhan?	tidak. tetapi saya menyukai gaya Yesus.
hari penghakiman...	ya hari penghakiman.
saya pahlawan mereka!	belum saudaraku sayang . . .
belum saudaraku sayang . . .	kirimkan mereka keluar!
jika saya boleh berani seperti itu. . .	karena para dewa yang memuntahkannya!
mereka tidak akan merusak yang ini.	tampaknya pendapat saya tidak diperlukan.
maka Anda akan kehilangan pekerjaan.	dengan senang hati caesar.
aku serius.	begitu juga aku.
dimana ayahku ?	dimana kaisar dan prajurit tentaranya?
Saya sudah membacanya.	tapi belum pernah?
kamu tidak bisa mati.	seandainya marcus tetap hidup.
besok ?	sesegera mungkin.
sesegera mungkin.	atas kehormatanmu sebagai seorang perwira Romawi, ayah?
atas kehormatanmu sebagai seorang perwira Romawi, ayah?	atas kehormatanku sebagai ayahmu...
pasukan saya tidak membuat kebijakan.	Ya, mereka mati karenanya!
kamu harus pulang!	saya dapat melihatnya...
sebelum mereka pergi dapatkan emas.	benar benar apa yang sedang aku pikirkan?
aku menolak menjadi budakmu. aku menolak	untuk bertarung? kita lihat saja nanti...
singkirkan tanganmu dariku binatang!	rantai dia.
benyamin ?	Apa ?
apakah kita akan menikah besok?	TIDAK .
TIDAK .	lusa ?
lusa ?	Mungkin kita iya, mungkin juga tidak.
Oh tidak. Dia mengatakan itu.	sstt.
sstt.	dimana dia melakukannya ?
Siapa pria di kebun binatang itu?	Ya .
Ya .	kenapa kamu harus menemuinya?
kenapa kamu harus menemuinya?	Baiklah, kukatakan aku mungkin akan menikahinya.
baiklah, aku harus menemui carl dulu.	carl siapa?
Saya rasa itu tidak akan berhasil.	mengapa tidak?
Elaine, kamu serius tentang ini?	Saya akan memikirkannya.
Saya akan memikirkannya.	kamu sungguh akan melakukannya?
kamu sungguh akan melakukannya?	Ya .
saya tidak tahu bagaimana kita bisa.	kita hanya bisa.
kita hanya bisa.	aku harus kembali sekarang.
kamu tidak akan?	aku tidak tahu .
aku tidak tahu .	tapi Anda mungkin .
tapi Anda mungkin .	saya mungkin.
saya mungkin.	Benarkah begitu? Kamu bersedia menikah denganku?
Benarkah begitu? Kamu bersedia menikah denganku?	Ya .
Ya .	Kapan ?
Kapan ?	aku tidak tahu .
benyamin ?	Apa ?
Apa ?	maukah kamu menciumku!
Aku tidak ingin kamu pergi besok.	saya tidak mengerti .
tapi elaine	selamat tinggal .
kamu mau pulang ?	TIDAK .
TIDAK .	baiklah kamu mau kemana ?
